sttn_no,sttn_name,longitude,latitude
02203,장충동 동국대입구,127.0058212968,37.5605809257
02204,장충동 동국대입구,127.0056290943,37.5606663921
02205,퇴계로6가,127.0039011095,37.5634011312
02206,퇴계로6가,127.003375,37.56353
02207,퇴계로5가,126.9999660413,37.5623804057
02208,퇴계로5가,126.9997252277,37.5627804223
02209,국립극장 반얀트리호텔,127.001094708,37.551481823
02210,국립극장 반얀트리호텔,127.000752,37.551535
02211,청구역,127.014656108,37.5599600605
02212,청구역,127.014219181,37.5599303778
02213,동화동,127.018124,37.560025
02214,동화동,127.0182736903,37.5598126778
02215,백범광장,126.980093,37.555737
02218,남대문경찰서,126.973838,37.554127
02219,남대문시장앞 이회영활동터,126.978580386,37.5609394169
02220,남산케이블카 남산산책로입구,126.9839798009,37.5552651842
02222,동대입구역 장충동,127.005445,37.558362
02223,약수역10번출구,127.009322,37.556256
02224,청계1가 광교,126.983392,37.568572
02225,청계2가 삼일교,126.9885301722,37.5678404706
02226,청계4가 배오개다리,126.9971755363,37.5684843738
02227,청계5가 방산시장,127.000827,37.569215
02228,청계6가 평화시장,127.004387,37.569443
02229,청계7가 동평화 청평화시장,127.0138508174,37.5695135434
02230,청계8가 영도교,127.019,37.570725
02233,신한은행본점,126.975585201,37.5611965482
02235,동대문역사문화공원,127.0091092289,37.5654113309
02236,버티고개,127.0060242348,37.5478041512
02237,버티고개,127.006189,37.547652
02240,청계3가 관수교,126.992961,37.568214
02241,청계6가 오간수교,127.0090361408,37.5694851752
02242,충무로역 매일경제,126.9933889105,37.561690572
02246,을지로입구역 광교,126.982562,37.56765
02252,신당파인힐하나유보라,127.024858,37.564982
02253,명동입구,126.982588,37.564545
02254,남산북측순환로입구,126.9988218165,37.5506986166
02255,신당동삼성아파트 금호여중,127.0187298806,37.5585545048
02256,신당동대우푸르지오 금호여중,127.019292,37.557805
02257,황학동주민센터,127.0234023516,37.5668556166
02258,신당초등학교앞,127.023723,37.564662
02259,금호베스트빌 래미안하이베르,127.024067,37.561643
02260,금호베스트빌 래미안하이베르,127.0243472269,37.5622544456
02261,신당초등학교,127.024240415,37.5645028357
02262,서대문경찰서 농협은행 유관순활동터,126.967647,37.565132
02272,방산종합시장,127.0019301271,37.5678058693
02273,황학동롯데캐슬,127.022033,37.571662
02274,광희문 광희동사거리,127.0086110484,37.5645499236
02275,광희문 광희동사거리,127.009677,37.564402
02277,황학동롯데캐슬,127.023297,37.57082
02278,한국은행 신세계앞,126.9792899798,37.561408112
02279,서울기동대 광희초등학교,127.014485,37.567922
02280,동대문디자인플라자,127.0119962039,37.567700749
02281,서대문역사거리 농협중앙회,126.9678855112,37.5669222408
02282,서울스퀘어앞,126.97323173,37.555341632
02283,북창동 남대문시장,126.9769187336,37.5608462911
02284,힐튼호텔,126.976562,37.556367
02285,힐튼호텔,126.9767113404,37.5566267411
02286,시청앞 덕수궁,126.9768355729,37.5662122834
02287,남대문세무서 국가인권위원회,126.987866112,37.5650839621
02288,장충문화체육센터 권기옥활동터,127.0025921056,37.5601745008
02289,남산1호터널,126.9921666231,37.5574051765
02291,남산예장버스환승주차장,126.989029,37.560033
02501,약수역 3 6호선,127.011707,37.553305
02502,조선일보,126.976885,37.568735
02503,시청역,126.977006,37.565673
02505,서울역,126.9713291252,37.5582012576
02506,숭례문앞,126.976236,37.561517
02507,프레스센터,126.97734,37.567396
02510,신당역하나은행,127.021586,37.565422
02513,염천교,126.971117,37.559798
02515,서울역서부,126.9692312733,37.5559789686
02516,한국경제신문사,126.9679526472,37.5609334062
02518,응봉근린공원 금호산,127.016922,37.553522
02519,서울방송고등학교 남산타운아파트,127.012409789,37.5495860191
02520,서울방송고등학교 남산타운아파트,127.012293,37.549618
02521,중구청소년센터 남산타운2상가,127.012751,37.551656
02522,중구청소년센터 남산타운2상가,127.012175,37.551906
